     *     0     1     A     B     C     D     E     F     G     H     I     J     2     K     L     M     N     O     P     Q     R     S     T     3     U     V     W     X     Y     Z     a     b     d     e     4     f     g     h     n     q     r     t     5     6     7     8     9
     b     0     0     0     3     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     1     0     0     0     0     2   192     0     0     0     0     0     3     0     0     0     1     0    14     0     0     0
     d     0     0     0     0     0     1     0     0     0     0     0     1     1     0     0     0     0     1     0     0     0     1     0     0     0     0     0     0     0     0     0     0   187     0     0     0     0     0     0     0     0     0     0     0     0     1     0
     e     0     0     0     0     1     0     1     0     0     0     0     0     0     0     0     0     0     0     2     0     0     0     0     0     0     0     0     0     0     1     0     0     0   184     0     1     0     0     0     0     0     1     0     0     0     0     0
     4     0     0     2     1     0     0     0     0     2     1     0     0     0     0     0     0     0     0     0     0     0     0     0     1     2     0     0     1    10     0     2     0     0     0   200     0     0     0     0     0     0     2     0     0     0     0     0
     f     0     1     2     0     0     0     1    10     0     0     1     0     0     0     2     0     0     0     4     0     0     1     0     0     0     0     0     1     0     0     0     0     4     1     0   193     0     0     0     0     1     2     0     0     0     1     0
     g     0     0     0     0     1     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     5     0     0     0     0     0     0     2     0     2     0     0     0     1     0   155     0     0     5     0     0     0     0     0     1     3
     h     0     0     0     0     0     0     0     0     0     0     0     0     0     2     2     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     6     0     0     0     0     0   226     4     0     0     0     0     0     0     0     0
     n     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     1     4     1     0     1     1     0     0     0     2     0     3     0     0     0     0     0     0     0     0     0     0     5   212     0     0     0     0     0     0     0     0
     q     0     1     0     0     1     0     0     0     1     0     0     1     1     0     0     0     0     0     1     0     0     0     0     0     1     0     0     1     0     0     3     0     1     2     0     0    14     0     0   149     0     0     0     0     0     4    27
     r     0     1     0     0     0     1     0     1     0     0     0     0     0     0     0     1     0     0     0     0     3     0     1     0     0     1     1     1     4     1     1     0     0     0     0     0     0     0     0     0   199     0     0     0     0     2     0
     t     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     2     0     0     0     0     0     0     0     0     1     0     0     0     1     0     0     0     0     1   198     0     0     0     0     0
     5     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     1     0     0     0    30     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     1     0     0     0     0   165     0     0     0     0
     6     0     0     0     1     1     0     0     0     4     0     0     0     0     2     0     0     0     0     0     1     0     2     0     0     2     0     2     0     0     0     0    10     0     0     0     1     0     0     0     0     0     0     0   179     0     0     0
     7     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     3     4     0     0     0     0     0     0     0     0     0     0     0     1     0     0   213     0     0
     8     0     0     0     1     0     0     0     0     0     1     0     0     0     0     0     0     0     0     2     0     0     1     0     3     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     2     2     0     0     0     0   207     2
     9     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     1     0     2     0     0     0     0     1     0     2     0     0     0     2     0     5     0     0     9     0     0     0     0     0     0   203
